Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-DEC-2024,22695.4,22843.5,22603.1,22835.85,1825538366,75564.34
29-NOV-2024,22537.8,22733.75,22531.9,22687,2465622501,90461.85
28-NOV-2024,22722.3,22821.75,22472.25,22514.35,3030092426,97443.69
27-NOV-2024,22594.2,22732.1,22526.1,22691.7,2776573123,84909.22
26-NOV-2024,22649.3,22675.7,22523,22562.45,3250965273,72749.91
25-NOV-2024,22578.65,22676.25,22510.8,22553.5,3706202446,182791.37
22-NOV-2024,21864.65,22260.15,21819.2,22225.55,2304966991,89091.23
21-NOV-2024,21947.75,21954.2,21692.8,21820.85,2635349322,96793.16
19-NOV-2024,21977.65,22233.4,21948.45,22004.35,1903367229,75183.79
18-NOV-2024,22045.9,22049.15,21787.35,21899.4,2056423917,72346.34
14-NOV-2024,21924.1,22096.85,21907.55,21963.1,1908216519,69309.12
13-NOV-2024,22263,22309.8,21867.7,21914.95,2325673237,80157.71
12-NOV-2024,22664.2,22721.9,22286.85,22331.05,1712810126,74130.26
11-NOV-2024,22590.1,22770.55,22478.7,22591.4,2005949849,75358.51
